Date,Open,High,Low,Close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES
7/19/16,112.17,112.48,111.93,112.13,108.657,114.3270762,102.9869238,18936702,26712031.25,58.15528936,54.51166702,5.29627195,-8.123585031,0.50360909,1.207811137,0.704202047,99.59708063,126.8058962,2.025138757,108.6116655
7/20/16,112.75,113.65,112.6,113.44,108.954,114.9627117,102.9452883,24997929,26821722.1,60.54547925,55.43141607,5.86039567,-2.792553191,0.512520796,1.344853042,0.832332246,118.4703956,121.9575474,2.740993279,108.6450896
7/21/16,113.52,113.74,112.87,113.18,109.251,115.4748281,103.0271719,18885367,26629781.75,59.84097604,56.12180702,5.28372093,-7.810320781,0.467058486,1.416155354,0.949096868,98.8427673,112.5293353,2.132870964,108.6906413
7/22/16,113.28,113.78,112.911,113.65,109.495,116.0005253,102.9894747,20003363,26694238.55,60.69942617,56.7974617,5.977247296,-1.803051318,0.435421181,1.493373344,1.057952163,98.17472975,108.0865861,2.190109184,108.7332902
7/25/16,113.56,113.69,113.28,113.66,109.9635,116.2479993,103.6790007,12968085,23942006.15,60.71797935,57.57109321,4.495724924,-1.664355062,0.383759062,1.537650991,1.153891929,92.09706754,101.4364082,1.791151711,108.7799989
7/26/16,113.63,114.2,113.22,113.79,110.542,115.9357319,105.1482681,21223845,22500983.25,60.96674359,58.23622949,9.10921469,-6.732348112,0.329037446,1.565188736,1.23615129,92.90883607,100.0987593,1.550936108,108.8263589
7/27/16,114.76,114.88,114.1,114.58,111.048,115.9399469,106.1560531,27646113,22470258.7,62.46672128,58.96311342,12.09156721,-5.119453925,0.31663651,1.631946928,1.315310418,112.7497925,98.95463863,1.868939283,108.8735135
7/28/16,114.76,115.11,114.4,114.98,111.4815,116.1486031,106.8143969,16939662,21749405.65,63.21008626,59.51519828,10.07084051,-2.921348315,0.305800866,1.6975615,1.391760634,119.9636526,103.1788157,1.921652304,108.9277252
7/29/16,115.24,115.54,114.87,115.23,111.866,116.4369579,107.2950421,22385320,21053630.7,63.67700116,60.01992292,8.390555921,-7.159353349,0.286244707,1.749566518,1.463321811,120.3534757,107.6145649,1.865919036,108.9852218
8/1/16,115.31,116.13,115.17,115.84,112.254,116.7908773,107.7171227,13990077,20757994.4,64.80868394,60.53453258,7.718058397,-5.894308943,0.284569815,1.819034079,1.534464265,130.2815622,115.2514638,2.12465838,109.0445472
8/2/16,115.68,115.77,114.22,114.96,112.631,116.7304775,108.5315225,21278383,20763518.4,61.91861948,60.88933616,6.36565507,-25.54585153,0.198453443,1.782531068,1.584077625,91.33333333,114.9363633,1.110720209,109.109104
8/3/16,114.88,115.35,114.8005,115.34,112.983,116.7281734,109.2378266,15011273,20285118.55,62.66520479,61.19887759,7.372928691,-17.2489083,0.14388309,1.763931488,1.620048398,99.2191282,112.2302304,1.231255329,109.1646875
8/4/16,115.32,115.78,115.03,115.67,113.3355,116.6770773,109.9939227,12835296,19968795.95,63.31382423,61.58734871,6.805170822,-10.74766355,0.108427019,1.755582171,1.647155152,107.7084559,109.7791911,1.275179957,109.2233529
8/5/16,116.28,117.04,116.13,116.78,113.6595,117.0175201,110.3014799,23196570,19655730.9,65.41272536,62.02848288,7.51242865,-5.088062622,0.136340724,1.817581057,1.681240333,146.1421379,114.9369235,1.976634669,109.2845961
8/8/16,116.82,116.87,116.28,116.65,113.9455,117.2992589,110.5917411,12358181,19262714.75,64.96071217,62.5145845,5.757026292,-8.783783784,0.123065444,1.835072139,1.712006694,124.1692779,113.7144667,1.576737677,109.3558024
8/9/16,116.73,117.29,116.67,116.92,114.217,117.6105946,110.8234054,13276458,18831230.4,65.47526509,62.86671207,5.399801677,-8.371040724,0.109916193,1.849401936,1.739485743,121.9215156,119.8321031,1.59195149,109.4250973
8/10/16,116.96,117.02,116.31,116.62,114.487,117.7402083,111.2337917,14688405,18510262.55,64.38432024,63.19123665,4.601309534,-15.30029687,0.06090865,1.815621555,1.754712905,100.0492507,119.9981276,1.115398193,109.4962989
8/11/16,117.01,117.37,116.78,117.12,114.744,117.9764443,111.5115557,12969799,18115203.2,65.38261537,63.52575016,5.304801295,-6.024096386,0.042910189,1.808350641,1.765440452,113.7440758,121.2052516,1.331157996,109.563974
8/12/16,116.91,117.21,116.79,117.2,115.014,118.1172332,111.9107668,19379036,18184189.4,65.54308928,63.87040087,4.661546705,-4.096385542,0.018389908,1.788427838,1.770037929,110.1536911,114.0075622,1.179024222,109.6357563
8/15/16,117.33,117.97,117.31,117.7,115.272,118.3675749,112.1764251,11777762,17737381.3,66.54951797,64.26917047,5.277280859,-6.976744186,0.017828776,1.7923239,1.774495124,123.3739837,113.8485034,1.366273169,109.7076166
8/16/16,117.47,117.49,117.03,117.05,115.518,118.3461344,112.6898656,14161446,17498618.5,64.02493535,64.38047148,4.007464013,-24.53333333,-0.041116759,1.723099175,1.764215934,82.56534627,105.9772695,0.653538567,109.7835442
8/17/16,117.08,117.3,116.43,117.26,115.709,118.4650327,112.9529673,15980334,17047738.75,64.47705152,64.470969,4.575046821,-18.93333333,-0.078589581,1.665978958,1.744568539,85.80912863,103.1292451,0.693106959,109.8525756
8/18/16,117.15,117.46,116.945,117.29,115.9145,118.4927822,113.3362178,10036285,16605284.65,64.54315752,64.53283731,3.393864598,-18.13333333,-0.111947392,1.604634298,1.71658169,80.12232416,96.40489478,0.591766724,109.9229461
8/19/16,117.1,117.52,116.76,117.26,116.095,118.5144421,113.6755579,18742961,16542264.55,64.41866764,64.504979,3.604877187,-18.93333333,-0.144551232,1.53589265,1.680443882,71.88030233,88.75021703,0.478632897,109.9929331
8/22/16,117.09,117.55,116.87,117.35,116.2795,118.481022,114.077978,14500622,16618891.4,64.6311955,64.69873443,3.255609327,-19.56144502,-0.16698577,1.47171167,1.63869744,72.48290338,78.57200095,0.408871722,110.0619703
8/23/16,117.79,118.0095,117.51,117.56,116.468,118.4155585,114.5204415,11997927,16157595.5,65.13578793,64.87520466,3.431286292,-15.0864239,-0.173831615,1.421407921,1.595239536,83.90963578,78.84085885,0.452262227,110.1312065
